file,line,text
[English Translation] database.sql,87,"[English Translation] (31, '3D Print in the world of art: From sculptures to functional art', 'Little Peter', '3D Printing, Art, Statue, Painting', '3D_Print_a_muvazet_vilaga', '3D printing has revolutionized the art world in recent years, allowing artists to create complex sculptures and functional objects with unprecedented accuracy and detail.', 'mueset_bor.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
[English Translation] database.sql,142,"[English Translation] (30, 'Transparent green', 'petg', 'petg_atlatszozozsoz.jpg', 'Glass -like effect', '90EE90', 0),"
[English Translation] database1.sql,66,"[English Translation] (6, 'Is It Worth Investing in a 3D Printer?', 'Frankli Mark', '3D Printing,Technology,3D Printer', 'megerie_print', 'The technology of 3D printing and the number of possible designs and ideas are enormous, but buying a 3D printer is not worth it for everyone.\r\nMost people simply buy a printer and filament and think they can print anything, but when something goes wrong or breaks, they have no idea what to do.\r\n', 'megerie_bor.jpg', '2022-02-28 19:19:08', '2022-02-18 07:18:17'),"
[English Translation] database1.sql,67,"[English Translation] (7, 'Which Is Stronger? Resin vs Filament', 'Frankli Mark', '3D Printing,Technology,Materials,Resin,Filament', 'resinvsfila_print', 'The most frequently discussed topics relate to the quality, material cost, and printing time of printed models.\r\nSometimes we need to print an object that requires specific structural properties such as tensile strength and impact resistance, and we need to find out whether resin-printed parts are stronger or weaker than filament-printed ones.\r\n', 'fdmsla1.jpg', '2022-02-28 19:19:08', '2022-02-22 07:18:17'),"
[English Translation] database1.sql,68,"[English Translation] (8, '3D Printing and Its History', 'Frankli Mark', '3D Printing,Technologies,History,Additive Manufacturing,Subtractive Manufacturing,Formative Manufacturing', 'fogalmaesmultja', '3D printing is an additive technology used to produce parts. The term additive refers to the fact that physical objects are made without a material block or mold  instead, the printer builds up layers of material and fuses them together. It is typically fast, has low setup costs, and can create more complex geometries than traditional technologies, with an ever-growing list of materials. It is widely used in engineering, especially for making prototypes and lightweight designs.', 'additiv.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
[English Translation] database1.sql,69,"[English Translation] (9, 'What Exactly Is FDM 3D Printing?', 'Frankli Mark', '3D Printing,FDM,Filament Deposition,FFF', 'fdm_print', 'Learn the basics of Fused Deposition Modeling (FDM) 3D printing. Discover why this technology is so affordable and why it is an excellent choice for fast and low-cost prototyping. Explore FDM materials and understand the benefits and drawbacks for users.', 'fdm_printer.jpg', '2022-02-27 03:06:05', '2022-02-26 07:18:17'),"
[English Translation] database1.sql,70,"[English Translation] (10, 'What Is SLA 3D Printing?', 'Frankli Mark', '3D Printing,SLA,Stereolithography', 'sla_print', 'Learn about stereolithography, also known as SLA 3D printing, and find out why this printing technology is so popular and cost-effective. Understand how SLA printing works, its parameters, and discover how suitable this 3D printing method is for your parts, models, or projects.', 'sla_print.jpg', '2022-02-27 19:19:08', '2022-02-24 07:18:17'),"
[English Translation] database1.sql,71,"[English Translation] (15, 'The Role of Layer Height in 3D Printing', 'Frankli Mark', '3D Printing,Technology,3D Printer,Layer Height,Surface', 'retegmagassag', 'Layer height in 3D printing is a simple setting that affects the printing speed and the level of detail of the model you want to print; it also impacts its durability, strength, and appearance.\r\nWhat and Why\r\nLayer height is exactly what it sounds like: the precise height of each layer of plastic extruded or cured by the 3D printer. This setting is controlled through slicing software and has much more influence on the final print than you might think at first glance. Properly adjusted layer height can significantly affect print quality.', 'layer5.jpg', '2022-02-28 19:19:08', '2022-02-18 07:18:17'),"
[English Translation] database1.sql,72,"[English Translation] (16, 'Best Websites to Find Low-Poly Models', 'Frankli Mark', '3D Printing,Online,Models,Low-Poly', 'lowpoly', 'Before listing the best low-poly 3D model sources, lets see what low-poly actually means.\r\nThe term poly comes from polygon. A polygon is a 2D shape made up of straight lines and angles. When we combine several polygons, we can create recognizable 3D shapes.\r\n', 'lowpolyrabbit.jpg', '2022-02-28 19:19:08', '2022-02-22 07:18:17'),"
[English Translation] database1.sql,73,"[English Translation] (17, '3D Printed Lithophanes', 'Frankli Mark', '3D Printing,Technologies,Lithophane,Images', 'litofan', 'The lithophane is a very special art form from the past. It has a rich history and has evolved over many years.\r\nIts unique way of displaying images gives it a magical effect. Lithophanes are usually curved or flat rectangular panels made from thin material containing many fine details. These details are only revealed when light shines through the back of the material, revealing the image it creates.\r\n', 'litofan1.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
[English Translation] database1.sql,74,"[English Translation] (18, 'Is PLA Really Biodegradable?', 'Frankli Mark', '3D Printing,Biology,Ecology,PLA', 'pla_bomlas', 'The most popular 3D printing material, PLA, is said to be biodegradable.\r\nPLA, or polylactic acid, is a thermoplastic and the most widely used 3D printing filament. Known for its ease of use, PLA requires a relatively low extrusion temperature of around 180C and no heated bed temperature.\r\n', 'bio1.jpg', '2022-02-27 03:06:05', '2022-02-26 07:18:17'),"
[English Translation] database1.sql,75,"[English Translation] (19, 'Best Modeling Software for Beginners', 'Frankli Mark', '3D Printing,Modeling,Software', 'softwerek_kezdoknek', '3D modeling takes a lot of practice, but anyone can learn it over time. It can have a steep learning curve, and many advanced CAD programs used to create digital objects can be confusing for complete beginners. Famous tools like SketchUp or Blender can intimidate new users with complex toolsets and unfamiliar controls that might discourage them initially.', 'softborito.jpg', '2022-02-27 19:19:08', '2022-02-24 07:18:17'),"
[English Translation] database1.sql,76,"[English Translation] (20, 'PLA vs ABS vs PETG: Which Is the Best?', 'Frankli Mark', '3D Printing,Filaments,PLA,PETG,ABS', 'plaabspetg', 'PLA, ABS, and PETG are among the most popular and widely available filaments. But just because theyre easy to find doesnt mean theyre equally suitable for every printing task.\r\n', 'pvpvafila.jpg', '2022-02-28 19:19:08', '2022-02-22 07:18:17'),"
[English Translation] database1.sql,77,"[English Translation] (21, 'Creating 3D Printed Stencils', 'Frankli Mark', '3D Printing,Technologies,Stencil,Painting', 'sablonok', 'Stencils are a unique art form used for everything from warning signs to your favorite T-shirt. Whether made industrially or cut by hand and laser, theres now a new method for making them: 3D printing.', 'stencil2.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
[English Translation] database1.sql,78,"[English Translation] (22, 'Creating 3D Printed Molds', 'Frankli Mark', '3D Printing,Molds,Mass Production,Tooling', 'ontoforma', 'These are great for mass production, standardizing designs, and expanding your repertoire of what you can make. First, we need to distinguish between two types of object-making to illustrate how printing 3D molds differs from regular 3D printing projects. The main difference lies in how we reach the final object.', 'mold4.jpg', '2022-02-27 03:06:05', '2022-02-26 07:18:17'),"
[English Translation] database1.sql,79,"[English Translation] (23, 'Advantages and Challenges of 3D Printing in Prototyping', 'Kis Peter', '3D Printing,Prototype,Advantages,Challenges', 'A_3D_nyomtatas_elonyei_es_kihivasai', '3D printing, also known as additive manufacturing, has revolutionized prototyping in recent years. It allows for fast and cost-effective production of physical prototypes, enabling businesses to test and refine designs faster than ever before.', 'proto_bor.jpg', '2022-02-27 03:06:05', '2022-02-26 07:18:17'),"
