file,line,text
[Translated to English] database.sql,87,"[Translated to English] (31, '3D Print in the world of art: From sculptures to functional art', 'Little Peter', '3D Printing, Art, Statue, Painting', '3D_Print_a_muvázet_vilaga', '3D printing has revolutionized the art world in recent years, allowing artists to create complex sculptures and functional objects with unprecedented accuracy and detail.', 'mueset_bor.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
[Translated to English] database.sql,142,"[Translated to English] (30, 'Transparent green', 'petg', 'petg_atlatszózózsóz.jpg', 'Glass -like effect', '90EE90', 0),"
[Translated to English] database1.sql,66,"[Translated to English] (6, 'Is It Worth Investing in a 3D Printer?', 'Frankli Márk', '3D Printing,Technology,3D Printer', 'megerie_print', 'The technology of 3D printing and the number of possible designs and ideas are enormous, but buying a 3D printer is not worth it for everyone.\r\nMost people simply buy a printer and filament and think they can print anything, but when something goes wrong or breaks, they have no idea what to do.\r\n', 'megerie_bor.jpg', '2022-02-28 19:19:08', '2022-02-18 07:18:17'),"
[Translated to English] database1.sql,67,"[Translated to English] (7, 'Which Is Stronger? Resin vs Filament', 'Frankli Márk', '3D Printing,Technology,Materials,Resin,Filament', 'resinvsfila_print', 'The most frequently discussed topics relate to the quality, material cost, and printing time of printed models.\r\nSometimes we need to print an object that requires specific structural properties such as tensile strength and impact resistance, and we need to find out whether resin-printed parts are stronger or weaker than filament-printed ones.\r\n', 'fdmsla1.jpg', '2022-02-28 19:19:08', '2022-02-22 07:18:17'),"
[Translated to English] database1.sql,68,"[Translated to English] (8, '3D Printing and Its History', 'Frankli Márk', '3D Printing,Technologies,History,Additive Manufacturing,Subtractive Manufacturing,Formative Manufacturing', 'fogalmaesmultja', '3D printing is an additive technology used to produce parts. The term “additive” refers to the fact that physical objects are made without a material block or mold — instead, the printer builds up layers of material and fuses them together. It is typically fast, has low setup costs, and can create more complex geometries than traditional technologies, with an ever-growing list of materials. It is widely used in engineering, especially for making prototypes and lightweight designs.', 'additiv.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
[Translated to English] database1.sql,69,"[Translated to English] (9, 'What Exactly Is FDM 3D Printing?', 'Frankli Márk', '3D Printing,FDM,Filament Deposition,FFF', 'fdm_print', 'Learn the basics of Fused Deposition Modeling (FDM) 3D printing. Discover why this technology is so affordable and why it is an excellent choice for fast and low-cost prototyping. Explore FDM materials and understand the benefits and drawbacks for users.', 'fdm_printer.jpg', '2022-02-27 03:06:05', '2022-02-26 07:18:17'),"
[Translated to English] database1.sql,70,"[Translated to English] (10, 'What Is SLA 3D Printing?', 'Frankli Márk', '3D Printing,SLA,Stereolithography', 'sla_print', 'Learn about stereolithography, also known as SLA 3D printing, and find out why this printing technology is so popular and cost-effective. Understand how SLA printing works, its parameters, and discover how suitable this 3D printing method is for your parts, models, or projects.', 'sla_print.jpg', '2022-02-27 19:19:08', '2022-02-24 07:18:17'),"
[Translated to English] database1.sql,71,"[Translated to English] (15, 'The Role of Layer Height in 3D Printing', 'Frankli Márk', '3D Printing,Technology,3D Printer,Layer Height,Surface', 'retegmagassag', 'Layer height in 3D printing is a simple setting that affects the printing speed and the level of detail of the model you want to print; it also impacts its durability, strength, and appearance.\r\nWhat and Why\r\nLayer height is exactly what it sounds like: the precise height of each layer of plastic extruded or cured by the 3D printer. This setting is controlled through slicing software and has much more influence on the final print than you might think at first glance. Properly adjusted layer height can significantly affect print quality.', 'layer5.jpg', '2022-02-28 19:19:08', '2022-02-18 07:18:17'),"
[Translated to English] database1.sql,72,"[Translated to English] (16, 'Best Websites to Find Low-Poly Models', 'Frankli Márk', '3D Printing,Online,Models,Low-Poly', 'lowpoly', 'Before listing the best low-poly 3D model sources, let’s see what “low-poly” actually means.\r\nThe term “poly” comes from “polygon.” A polygon is a 2D shape made up of straight lines and angles. When we combine several polygons, we can create recognizable 3D shapes.\r\n', 'lowpolyrabbit.jpg', '2022-02-28 19:19:08', '2022-02-22 07:18:17'),"
[Translated to English] database1.sql,73,"[Translated to English] (17, '3D Printed Lithophanes', 'Frankli Márk', '3D Printing,Technologies,Lithophane,Images', 'litofan', 'The lithophane is a very special art form from the past. It has a rich history and has evolved over many years.\r\nIts unique way of displaying images gives it a magical effect. Lithophanes are usually curved or flat rectangular panels made from thin material containing many fine details. These details are only revealed when light shines through the back of the material, revealing the image it creates.\r\n', 'litofan1.jpg', '2022-02-28 19:19:08', '2022-02-20 07:18:17'),"
